PuzzleId,Rating,FEN,Moves,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
HS9Xv,1435,r4r1k/7P/2p1pbQ1/pp6/3q4/8/PPP2P2/2K3RR w - - 0 25,g6g8 f8g8 h7g8q,75,100,377,advancedPawn doubleCheck mate mateIn2 middlegame promotion short,https://lichess.org/ERENdURz/black#48,
5qeC3,1435,1Rr3k1/5ppp/4p3/3pP3/2r2P1Q/3q4/7P/1R4K1 w - - 2 45,h4d8 c8d8 b8d8,84,84,277,backRankMate endgame mate mateIn2 sacrifice short xRayAttack,https://lichess.org/ivNLDfsO/black#88,
KqJvm,1435,1r5r/5bQ1/4kp1p/p1Bpp2P/1p2P3/3q4/PP6/K1R5 w - - 2 33,g7g4 f6f5 g4f5,75,92,4419,mate mateIn2 middlegame short,https://lichess.org/1Oe9ZQYU/black#64,
r4xak,1435,6rk/pR2Qp2/7p/2pNp1q1/2Pb4/3P2P1/P3PP2/6K1 b - - 0 27,g5g3 g1h1 g3h3,74,98,3557,endgame mate mateIn2 pin short,https://lichess.org/7nm4wNQE#53,
P6eWx,1435,r4r2/p1n2Npp/1p6/1k1b4/5R2/7P/5PP1/2R3K1 w - - 5 32,f7d6 b5a5 c1a1 d5a2 a1a2,75,95,13247,long mate mateIn3 middlegame,https://lichess.org/rbjCt9LC/black#62,
DcrJb,1436,2rb2k1/2q2rP1/p2p3p/1p2p3/2b5/2P1B3/PPB2P2/R3K1R1 w Q - 1 31,c2h7 g8h7 g7g8q,75,99,3314,advancedPawn attraction kingsideAttack mate mateIn2 middlegame promotion short,https://lichess.org/9ou7fjZF/black#60,
zCVYT,1436,2r4k/1Q3p1p/p2p1p1P/q2P2p1/4R3/3B1nN1/PPP2P2/2K5 b - - 0 28,a5d2 c1b1 d2d1,78,93,9278,mate mateIn2 middlegame queensideAttack short,https://lichess.org/KE81egzq#55,
mtoIe,1436,r1bBk2r/ppp2ppp/2p5/2b5/2P1n3/3P4/PP2PPPP/RN1QKB1R b KQkq - 0 7,c5f2,85,83,1582,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/Wk1JayhX#13,
KeLaz,1436,5k2/3Qpp1p/q2p1bp1/P1pP2B1/1rP5/6P1/5PKP/8 w - - 15 36,g5h6 f6g7 d7d8,77,94,7487,endgame mate mateIn2 short,https://lichess.org/wfFhYY1T/black#70,
9R5WZ,1436,4brk1/p7/2p1p1pp/2bpP3/5q2/2PQ2N1/PPBR2PK/5R2 b - - 0 27,f4h4,443,38,3,mate mateIn1 middlegame oneMove,https://lichess.org/dQjL3zl7#53,
